Atlanta,Hawks,ATL,atlantahawks,US/Eastern,Southeast,East,1610612737
Boston,Celtics,BOS,bostonceltics,US/Eastern,Atlantic,East,1610612738
Brooklyn,Nets,BKN,gonets,US/Eastern,Atlantic,East,1610612751
Charlotte,Bobcats,CHA,charlottehornets,US/Eastern,Southeast,East,
Charlotte,Hornets,CHA,charlottehornets,US/Eastern,Southeast,East,1610612766
Chicago,Bulls,CHI,chicagobulls,America/Chicago,Central,East,1610612741
Cleveland,Cavaliers,CLE,clevelandcavs,US/Eastern,Central,East,1610612739
Dallas,Mavericks,DAL,mavericks,US/Central,Southwest,West,1610612742
Denver,Nuggets,DEN,denvernuggets,US/Mountain,Northwest,West,1610612743
Detroit,Pistons,DET,detroitpistons,US/Eastern,Central,East,1610612765
Golden State,Warriors,GSW,warriors,US/Pacific,Pacific,West,1610612744
Houston,Rockets,HOU,rockets,US/Central,Southwest,West,1610612745
Indiana,Pacers,IND,pacers,America/Indiana/Indianapolis,Central,East,1610612754
Los Angeles,Clippers,LAC,laclippers,America/Los_Angeles,Pacific,West,1610612746
Los Angeles,Lakers,LAL,lakers,America/Los_Angeles,Pacific,West,1610612747
Memphis,Grizzlies,MEM,memphisgrizzlies,US/Central,Southwest,West,1610612763
Miami,Heat,MIA,heat,US/Eastern,Southeast,East,1610612748
Milwaukee,Bucks,MIL,mkebucks,US/Central,Central,East,1610612749
Minnesota,Timberwolves,MIN,timberwolves,US/Central,Northwest,West,1610612750
New Orleans,Hornets,NOP,nolapelicans,US/Central,Southwest,West,
New Orleans,Pelicans,NOP,nolapelicans,US/Central,Southwest,West,1610612740
New York,Knicks,NYK,nyknicks,America/New_York,Atlantic,East,1610612752
Oklahoma City,Thunder,OKC,thunder,US/Central,Northwest,West,1610612760
Orlando,Magic,ORL,orlandomagic,US/Eastern,Southeast,East,1610612753
Philadelphia,76ers,PHI,sixers,US/Eastern,Atlantic,East,1610612755
Phoenix,Suns,PHX,suns,America/Phoenix,Pacific,West,1610612756
Portland,Trail Blazers,POR,ripcity,US/Pacific,Northwest,West,1610612757
Sacramento,Kings,SAC,kings,US/Pacific,Pacific,West,1610612758
San Antonio,Spurs,SAS,nbaspurs,US/Central,Southwest,West,1610612759
Toronto,Raptors,TOR,torontoraptors,America/Toronto,Atlantic,East,1610612761
Utah,Jazz,UTA,utahjazz,US/Mountain,Northwest,West,1610612762
Washington,Wizards,WAS,washingtonwizards,US/Eastern,Southeast,East,1610612764